Event,City,Country,Distance,Date,Link
Copenhagen Half Marathon,Copenhagen,Denmark,Half Marathon,9/15/2024,https://cphhalf.dk/
Sydney Marathon,Sydney,Australia,Marathon,9/15/2024,https://www.tcssydneymarathon.com/
Belfast Half Marathon,Belfast,Northern Ireland,Half Marathon,9/22/2024,https://belfastcitymarathon.com/events/half-marathon
Dublin Half Marathon,Dublin,Ireland,Half Marathon,9/22/2024,https://irishlifedublinmarathon.ie/race/dublin-half-marathon/
Sarajevo Half Marathon,Sarajevo,Bosnia & Herzegovina,Half Marathon,9/22/2024,https://sarajevomarathon.ba/en/races/sarajevo-half-marathon/63
Rome Half Marathon Via Pacis,Rome,Italy,Half Marathon,9/22/2024,Rome Half Marathon
Buenos Aires Marathon,Buenos Aires,Argentina,Marathon,9/22/2024,Buenos Aires Marathon
Route Du Vin Half Marathon,Remich,Luxembourg,Half Marathon,9/29/2024,Route Du Vin Half Marathon
Royal Windsor Half Marathon,Windsor,UK,Half Marathon,9/29/2024,Royal Windsor Half Marathon
Great Scottish Run (Glasgow Half),Glasgow,UK,Half Marathon,9/29/2024,Great Scottish Run
BMW Berlin Marathon,Berlin,Germany,Marathon,9/29/2024,https://www.bmw-berlin-marathon.com/
Cardiff Half Marathon,Cardiff,UK,Half Marathon,10/6/2024,https://www.cardiffhalfmarathon.co.uk/
Lisbon Marathon,Lisbon,Portugal,Marathon,10/6/2024,https://www.maratonaclubedeportugal.com/en/prova/edp-lisbon-marathon/
London Royal Parks Half Marathon,London,UK,Half Marathon,10/13/2024,https://www.royalparkshalf.com/
Manchester Half Marathon,Manchester,UK,Half Marathon,10/13/2024,https://www.manchesterhalfmarathon.com/home/
Oxford Half Marathon,Oxford,UK,Half Marathon,10/13/2024,Oxford Half Marathon
Chicago Marathon,Chicago,USA,Marathon,10/13/2024,Chicago Marathon
Melbourne Marathon,Melbourne,Australia,Marathon,10/13/2024,Melbourne Marathon
Munich Marathon,Munich,Germany,Marathon,10/13/2024,https://www.generalimuenchenmarathon.de/en/
TCS Amsterdam Half Marathon,Amsterdam,Netherlands,Half Marathon,10/20/2024,TCS Amsterdam Marathon
Amsterdam Marathon,Amsterdam,Netherlands,Marathon,10/20/2024,Amsterdam Marathon
Cape Town Marathon,Cape Town,South Africa,Marathon,10/20/2024,Cape Town Marathon
Valencia Half Marathon Trinidad Alfonso Zurich,Valencia,Spain,Half Marathon,10/27/2024,https://www.valenciaciudaddelrunning.com/en/half/half-marathon/
Venice Running Day Half Marathon,Venice,Italy,Half Marathon,10/27/2024,https://www.venicemarathon.it/en/21k-en/details21k-en
Irish Life Dublin Marathon 2024,Dublin,Ireland,Marathon,10/27/2024,https://irishlifedublinmarathon.ie/
Venice Marathon,Venice,Italy,Marathon,10/27/2024,https://www.venicemarathon.it/en/42k-en
Frankfurt Marathon,Frankfurt,Germany,Marathon,10/27/2024,Frankfurt Marathon
Brussels Half Marathon,Brussels,Belgium,Half Marathon,11/3/2024,https://brusselsairportmarathon.be/
Brussels Marathon,Brussels,Belgium,Marathon,11/3/2024,https://brusselsairportmarathon.be/
Istanbul Marathon,Istanbul,Turkey,Marathon,11/3/2024,Istanbul Marathon
New York City Marathon,New York City,USA,Marathon,11/3/2024,New York City Marathon
Athens Marathon,Athens,Greece,Marathon,11/10/2024,Athens Marathon
Florence Marathon,Florence,Italy,Marathon,11/24/2024,https://www.firenzemarathon.it/en/marathon/
Valencia Marathon Trinidad Alfonso Zurich,Valencia,Spain,Marathon,12/1/2024,https://www.valenciaciudaddelrunning.com/en/marathon/maraton/
Honolulu Marathon,Honolulu,USA,Marathon,12/8/2024,Honolulu Marathon
Dubai Marathon,Dubai,UAE,Marathon,1/12/2025,https://www.dubaimarathon.org/
Seville Half Marathon,Seville,Spain,Half Marathon,1/26/2025,https://worldsmarathons.com/marathon/medio-maraton-de-sevilla
Barcelona Half Marathon,Barcelona,Spain,Half Marathon,2/16/2025,Barcelona Half Marathon
Napoli City Half Marathon,Naples,Italy,Half Marathon,2/23/2025,Napoli City Half Marathon
Seville Marathon,Seville,Spain,Marathon,2/23/2025,https://en.zurichmaratonsevilla.es/
Brighton Half Marathon,Brighton,UK,Half Marathon,3/2/2025,https://brightonhalfmarathon.com/
Tokyo Marathon,Tokyo,Japan,Marathon,3/2/2025,https://www.marathon.tokyo/en/
Cambridge Half Marathon,Cambridge,UK,Half Marathon,3/9/2025,https://cambridgehalfmarathon.com/
EDP Lisbon Half Marathon,Lisbon,Portugal,Half Marathon,3/9/2025,https://www.maratonaclubedeportugal.com/en/corrida-marco/edp-lisbon-half-marathon/
Paris Half Marathon,Paris,France,Half Marathon,3/9/2025,Paris Half Marathon
CPC Run The Hague,The Hague,Netherlands,Half Marathon,3/9/2025,CPC Run The Hague
New York City Half Marathon,New York City,USA,Half Marathon,3/16/2025,https://marathontours.com/en-gb/events/new-york-half-marathon/
Barcelona Marathon,Barcelona,Spain,Marathon,3/16/2025,https://www.zurichmaratobarcelona.es/
Rome Marathon,Rome,Italy,Marathon,3/16/2025,https://www.runromethemarathon.com/en/home-en/
Los Angeles Marathon,Los Angeles,USA,Marathon,3/16/2025,LA Marathon
Liverpool Half Marathon,Liverpool,UK,Half Marathon,03/23/2025,https://www.btrliverpool.com/lhm-and-10m-event
RunCzech Prague Half Marathon,Prague,Czech Republic,Half Marathon,4/5/2025,https://www.runczech.com/en
Prague Marathon,Prague,Czech Republic,Marathon,4/5/2025,Prague Marathon
